Date,Open,High,Low,Close,Adj Close,Volume
2020-08-25,75.440002,76.029999,75.099998,75.989998,66.222710,610400
2020-08-26,77.400002,78.000000,76.860001,77.110001,67.198761,1167500
2020-08-27,77.459999,77.980003,77.300003,77.570000,67.599632,700500
2020-08-28,78.050003,78.309998,76.900002,77.199997,67.277191,469600
2020-08-31,77.260002,77.360001,76.080002,76.120003,66.336006,854300
2020-09-01,75.860001,76.080002,75.400002,75.790001,66.048424,597800
2020-09-02,75.889999,76.430000,75.660004,75.910004,66.153008,717200
2020-09-03,76.000000,76.099998,74.290001,74.519997,64.941658,706100
2020-09-04,75.209999,75.489998,73.720001,74.220001,64.680206,844500
2020-09-08,73.279999,73.349998,72.599998,72.760002,63.407875,810900
2020-09-09,73.239998,74.309998,73.209999,74.029999,64.514641,711900
2020-09-10,74.360001,74.370003,72.849998,73.029999,63.643173,510000
2020-09-11,73.250000,74.029999,73.120003,73.720001,64.244492,555000
2020-09-14,74.099998,74.389999,73.849998,74.230003,64.688934,492300
2020-09-15,74.519997,74.699997,74.180000,74.410004,64.845787,474600
2020-09-16,74.330002,74.690002,73.330002,73.400002,63.965618,509100
2020-09-17,72.730003,73.559998,72.470001,73.279999,63.861042,407000
2020-09-18,73.129997,73.199997,72.320000,72.339996,63.041870,456100
2020-09-21,71.209999,71.269997,69.970001,70.870003,61.760803,595200
2020-09-22,71.000000,71.589996,70.430000,70.860001,61.752094,434700
2020-09-23,71.389999,71.559998,69.930000,70.000000,61.002628,654600
2020-09-24,69.750000,71.040001,69.470001,70.599998,61.525509,695000
2020-09-25,69.940002,70.639999,69.669998,70.620003,61.542942,529300
2020-09-28,71.440002,71.809998,71.300003,71.449997,62.266251,738100
2020-09-29,71.199997,71.309998,69.879997,70.120003,61.107208,618200
2020-09-30,70.379997,70.750000,69.970001,70.139999,61.124638,808700
2020-10-01,70.580002,70.580002,69.639999,70.410004,61.359924,495400
2020-10-02,69.599998,71.089996,69.480003,70.760002,61.664951,644600
2020-10-05,71.410004,72.199997,71.000000,72.000000,62.745556,427200
2020-10-06,72.459999,72.970001,71.790001,71.870003,62.632267,464600
2020-10-07,73.040001,73.769997,72.809998,73.570000,64.113777,1868600
2020-10-08,73.919998,74.279999,73.720001,74.019997,64.505920,1078100
2020-10-09,74.400002,74.510002,73.739998,74.160004,64.627930,783200
2020-10-12,74.440002,74.910004,74.150002,74.669998,65.072388,425300
2020-10-13,74.480003,74.480003,73.459999,74.029999,64.514641,756600
2020-10-14,74.000000,74.269997,73.750000,73.820000,64.331627,1383500
2020-10-15,72.849998,73.769997,72.690002,73.470001,64.026619,873200
2020-10-16,73.529999,73.889999,73.320000,73.699997,64.227058,835900
2020-10-19,74.080002,74.199997,72.809998,72.970001,63.590889,1627400
2020-10-20,73.059998,73.529999,72.800003,73.050003,63.660610,1033000
2020-10-21,73.010002,73.709999,72.790001,73.570000,64.113777,1339400
2020-10-22,73.500000,74.309998,73.430000,74.099998,64.575653,1414300
2020-10-23,73.779999,73.879997,73.129997,73.300003,64.595032,2468000
2020-10-26,72.580002,72.629997,71.220001,71.599998,63.096916,647800
2020-10-27,71.599998,71.599998,70.290001,70.500000,62.127548,668500
2020-10-28,69.279999,69.570000,68.419998,68.480003,60.347446,705500
2020-10-29,68.349998,70.099998,67.779999,69.750000,61.466629,896600
2020-10-30,69.559998,70.000000,69.110001,69.989998,61.678120,811600
2020-11-02,70.489998,70.699997,69.820000,70.559998,62.180412,549500
2020-11-03,71.570000,72.470001,71.410004,72.190002,63.616848,740400
2020-11-04,71.779999,73.820000,71.230003,73.349998,64.639099,559700
2020-11-05,74.230003,74.669998,73.650002,73.800003,65.035645,576600
2020-11-06,74.199997,74.480003,73.779999,74.190002,65.379341,388700
2020-11-09,76.440002,77.440002,74.959999,75.059998,66.146011,1116900
2020-11-10,75.250000,76.500000,75.209999,76.160004,67.115372,836900
2020-11-11,76.580002,77.050003,76.389999,76.699997,67.591248,682300
2020-11-12,76.209999,76.419998,75.570000,76.370003,67.300453,1058600
2020-11-13,76.559998,76.900002,76.330002,76.440002,67.362122,970400
2020-11-16,77.550003,77.730003,77.040001,77.690002,68.463684,512000
2020-11-17,77.089996,79.230003,77.089996,78.959999,69.582848,657900
2020-11-18,79.190002,80.000000,78.919998,79.570000,70.120415,668700
2020-11-19,79.360001,79.720001,78.779999,79.690002,70.226166,505600
2020-11-20,79.699997,80.000000,79.400002,79.739998,70.270226,580200
2020-11-23,79.980003,80.779999,79.930000,80.720001,71.133835,638900
2020-11-24,81.620003,82.879997,81.419998,82.849998,73.010887,818200
2020-11-25,82.430000,83.209999,81.930000,82.919998,73.072578,636600
2020-11-27,82.919998,83.540001,82.870003,83.209999,73.328125,270200
2020-11-30,82.769997,83.230003,81.959999,81.980003,72.244217,731700
2020-12-01,83.180000,83.400002,82.639999,82.660004,72.843460,661800
2020-12-02,82.739998,82.910004,81.580002,82.180000,72.420464,798900
2020-12-03,82.500000,83.029999,82.080002,82.209999,72.446907,604600
2020-12-04,82.639999,82.639999,82.010002,82.300003,72.526215,666400
2020-12-07,82.019997,82.790001,81.769997,82.559998,72.755325,519900
2020-12-08,82.330002,82.940002,82.320000,82.570000,72.764145,453900
2020-12-09,82.919998,83.379997,82.589996,82.900002,73.054947,605700
2020-12-10,82.930000,84.000000,82.739998,83.580002,73.654198,539400
2020-12-11,82.900002,83.440002,82.629997,83.309998,73.416275,412800
2020-12-14,83.930000,84.000000,82.089996,82.169998,72.411644,530100
2020-12-15,82.820000,83.010002,82.099998,82.250000,72.482147,592000
2020-12-16,82.139999,82.360001,81.419998,82.120003,72.367584,607300
2020-12-17,82.379997,82.730003,81.730003,82.070000,72.323540,406300
2020-12-18,81.970001,82.269997,81.160004,81.360001,71.697853,565500
2020-12-21,80.470001,81.029999,79.839996,80.739998,71.151474,650500
2020-12-22,80.730003,80.750000,79.820000,80.129997,70.613914,542500
2020-12-23,80.720001,81.620003,80.529999,81.489998,71.812393,565700
2020-12-24,81.910004,81.940002,81.339996,81.870003,72.147278,196400
2020-12-28,82.269997,83.059998,81.720001,81.809998,72.094383,279700
2020-12-29,82.370003,82.550003,81.669998,82.050003,72.305901,479600
2020-12-30,82.550003,82.650002,82.059998,82.120003,72.367584,380100
2020-12-31,82.250000,82.760002,81.889999,82.059998,72.314705,673500
2021-01-04,82.620003,82.680000,81.349998,81.870003,72.147278,734300
2021-01-05,81.919998,83.290001,81.910004,83.099998,73.231201,744600
2021-01-06,83.300003,84.589996,83.010002,84.349998,74.332748,907700
2021-01-07,84.599998,85.279999,84.330002,85.199997,75.081795,900900
2021-01-08,85.459999,85.730003,84.339996,84.959999,74.870316,635100
2021-01-11,84.190002,84.820000,84.040001,84.400002,74.376823,540700
2021-01-12,84.480003,85.470001,84.480003,85.309998,75.178741,551000
2021-01-13,84.930000,85.720001,84.919998,85.440002,75.293312,751200
2021-01-14,85.550003,86.139999,84.970001,85.580002,75.416672,569700
2021-01-15,84.879997,85.209999,84.290001,85.059998,74.958435,700300
2021-01-19,85.250000,85.419998,84.589996,84.669998,74.614746,2029100
2021-01-20,84.959999,85.449997,84.680000,85.440002,75.293312,607000
2021-01-21,85.580002,85.959999,85.080002,85.330002,75.196381,2080000
2021-01-22,84.620003,84.889999,84.120003,84.300003,74.288689,3041300
2021-01-25,83.550003,83.879997,82.660004,83.400002,74.242409,2363600
2021-01-26,83.500000,83.690002,83.040001,83.459999,74.295815,576200
2021-01-27,82.449997,82.500000,81.199997,81.330002,72.399696,1083200
2021-01-28,81.680000,82.800003,81.010002,82.129997,73.111839,2330700
2021-01-29,81.769997,82.120003,80.529999,80.870003,71.990204,1813100
2021-02-01,81.320000,81.629997,80.849998,81.269997,72.346275,618000
2021-02-02,82.029999,82.820000,81.750000,82.470001,73.414513,659300
2021-02-03,82.519997,82.650002,82.070000,82.510002,73.450134,773300
2021-02-04,82.709999,83.040001,82.519997,82.870003,73.770599,1136200
2021-02-05,83.690002,83.690002,83.129997,83.519997,74.349220,1331600
2021-02-08,83.610001,84.220001,83.610001,84.089996,74.856644,1278700
2021-02-09,83.970001,84.320000,83.540001,84.260002,75.007988,996500
2021-02-10,83.980003,84.290001,83.089996,83.389999,74.233490,1753200
2021-02-11,83.580002,83.669998,82.860001,83.290001,74.144470,1570700
2021-02-12,83.050003,83.779999,83.050003,83.610001,74.429337,1401600
2021-02-16,84.050003,84.209999,83.620003,83.849998,74.642990,2164100
2021-02-17,83.599998,84.779999,83.430000,84.589996,75.301735,1519800
2021-02-18,84.330002,86.089996,84.139999,86.070000,76.619225,1367900
2021-02-19,86.320000,87.320000,86.250000,86.970001,77.420403,1119500
2021-02-22,86.680000,88.550003,86.559998,87.910004,78.257187,1163500
2021-02-23,88.500000,89.690002,87.879997,88.889999,79.129585,1412700
2021-02-24,89.959999,90.139999,87.930000,89.349998,79.539078,1578000
2021-02-25,89.660004,90.589996,87.290001,87.519997,77.910011,1719900
2021-02-26,86.959999,87.209999,84.980003,85.089996,75.746826,1501800
